time_secs,scrolling,mouse_clicks,e_legend_clicks,e_map_clicks,map_clicks,general_clicks,close_top_clicks,close_bottom_clicks,go_clicks,map_zoom,mouse_mov,key_presses,priority,order,user
5,0,0.2,0,0,0.2,0,0,0,0,0,15.6,1.6,1,1,0
10,0,0.02,0,0,0.02,0,0,0,0,19.7,5.0600000000000005,0.36,1,1,0
15,0,0.20133333333333334,0,0,0.20133333333333334,0,0,0,0,3.1133333333333337,22.404,0.024,1,1,0
20,0,0.11006666666666667,0,0,0.11006666666666667,0,0,0,0,0.6556666666666666,10.4702,0.0012000000000000001,1,1,0
25,0,0.044402666666666674,0,0,0.044402666666666674,0,0,0,0,0.026226666666666665,7.738808000000001,0.000048,1,1,0
30,0,0.06814675555555555,0,0,0.06814675555555555,0,0,0,0,0.0008742222222222222,2.4246269333333337,0.16666826666666665,1,1,0
35,0,0.08766133587301587,0,0,0.08766133587301587,0,0,0,0,3.542882120634921,3.18356076952381,0.004761950476190476,1,1,0
40,0,0.002191533396825397,0,0,0.002191533396825397,0,0,0,0,4.113572053015873,0.07958901923809525,0.15011904876190477,1,1,0
45,0,0.00004870074215167549,0,0,0.00004870074215167549,0,0,0,0,6.624746045622576,0.8906575337608467,0.0033359788613756616,1,1,0
50,0,0.04000097401484304,0,0,0.04000097401484304,0,0,0,0,1.6124949209124515,4.657813150675217,0.00006671957722751323,1,1,0
55,0,0.07345456316390624,0,0,0.07345456316390624,0,0,0,0,0.2293180894711355,7.539232966375913,0.0000012130832223184223,1,1,0
